DATA;INSAP.;C12;C14;C14:1;C15;C16;C16:1;C17;C18;C18:1;C18:2;C18:3;C20;C20:1;C22;TOT;C18-1-2-3;TOT INSAT.;Y;R;N IODIO;ACIDITA';GreenOleo
14/11/2014;0.5;0.7;1;0;0.2;6;5;0.1;2;67;15;1;0.2;0;0.1;98.8;83;88;9.4;1.1;100;200;1
26/11/2014;0.5;0.1;1;0;0.1;6;4;0.6;2;69;15;2;0.1;0.1;0.1;100.6;86;90.1;11;1.2;100;199;1
04/12/2014;0.5;0.3;2;0;0.2;6;5;0.6;2;68;15;1;0.3;0.1;0.1;101.1;84;89.1;8.6;0.7;99;200;1
22/12/2014;0.7;0.2;1;0.1;0.3;6;4;0.7;2;68;15;2;0.1;0.2;0.2;100.5;85;89.3;11;1.2;99;199;1
02/01/2015;0.5;0.1;1;0;0.1;6;4;0.5;2;68;15;2;0.1;0.1;0.1;99.5;85;89.1;7.8;0.8;100;199;1
14/01/2015;0.5;0.2;1;0;0.2;6;4;0.6;2;68;15;1;0.1;0.3;0.1;99;84;88.3;9.9;1.1;99;199;1
27/01/2015;0.6;0.2;1;0;0.5;6;4;0.9;2;68;15;1;0.5;0.2;0.1;100;84;88.2;9.3;1;99;199;1
16/02/2015;0.5;0.1;1;0;0.2;6;4;0.7;2;68;15;2;0.2;0.2;0.1;100;85;89.2;7.6;0.8;100;199;1
05/03/2015;0.5;1;2;0.2;0.2;5;4;0.8;2;68;15;1;0.4;0.4;0.1;100.6;84;88.6;7.7;0.8;98;202;1
12/03/2015;0.5;0.1;1;0.1;0.2;6;4;0.2;2;71;14;2;0.1;0.3;0.1;101.6;87;91.4;6.8;0.8;99;200;1
25/03/2015;0.5;0.2;1;0.1;0.2;5;4;0.7;1;71;14;2;0.2;0;0;99.9;87;91.1;9.3;1.1;99;199;1
02/04/2015;0.5;0.3;1;0.1;0.2;6;5;0.9;2;69;13;1;0.2;0;0;99.2;83;88.1;9.2;1.4;97;200;1
22/04/2015;0.5;0.1;1;0.1;0.3;5;5;0.9;1;68;14;1;0.1;0.2;0.2;97.4;83;88.3;8.6;1.3;98;201;1
29/04/2015;0.5;1;1;0.2;0.2;5;5;0.9;2;67;15;1;0.5;0.2;0.1;99.6;83;88.4;6.7;0.7;100;201;1
18/05/2015;0.5;0.2;1;0.2;0.3;5;5;0.7;2;69;14;2;0.4;0;0;100.3;85;90.2;8.6;0.9;100;199;1
22/05/2015;0.8;0.1;1;0.1;0.3;5;5;0.7;2;69;14;2;0.1;0.5;0.1;100.7;85;90.6;7.7;0.9;98;200;1
01/06/2015;0.5;0.2;1;0;0.3;5;5;0.7;2;70;13;0;0.1;1.5;0.1;99.4;83;89.5;9.4;1;98;199;1
12/06/2015;0.5;0.1;1;0.1;0.3;5;4;0.7;2;70;13;2;0.1;1.2;0.1;100.1;85;90.3;7.9;0.6;99;199;1
29/06/2015;0.5;0.1;1;0;0.3;6;4;0.6;2;69;15;2;0.1;0.2;0.1;100.9;86;90.2;9.4;0.9;99;199;1
09/07/2015;0.5;0.8;1;0;0;5;4;0.7;2;69;15;0;0.1;1.6;0.1;99.8;84;89.6;9.6;1.1;100;200;1
16/07/2015;0.5;0.2;1;0.3;0.1;6;5;0.7;2;70;15;2;0.1;0.2;0.2;103.3;87;92.5;9.1;1;100;200;1
24/08/2015;0.5;0.2;2;0.1;0.3;6;5;0.6;2;69;15;2;0.1;0.2;0.1;103.1;86;91.3;14;1.5;99;199;1
14/09/2015;0.5;0.1;1;0.1;0.2;5;5;0.7;2;69;14;1;0.1;0.6;0.2;99.5;84;89.7;7.9;0.8;99;200;1
21/09/2015;0.5;0.4;2;0.5;0.2;6;5;0.7;2;68;14;2;0.3;0.5;0.3;102.4;84;90;8.6;0.8;98;201;1
05/10/2015;0.5;0.1;1;0.1;0.2;5;5;0.6;2;69;14;1;0.1;1;0.1;99.7;84;90.1;9.1;0.9;100;200;1
13/10/2015;0.5;0.3;1;0.1;0.2;6;5;0.7;2;69;14;1;0.2;0;0;100;84;89.1;7.3;0.6;98;199;1
21/10/2015;0.6;0.2;1;0.3;0.5;6;5;0.7;2;70;13;2;0.1;0.1;0.1;101.6;85;90.4;9.5;1.1;97;201;1
23/11/2015;0.5;0.2;1;0.1;0.2;5;4;0.6;1;70;14;2;0.2;0.8;0.1;99.7;86;90.9;9.9;0.9;100;199;1
30/11/2015;0.6;0.7;1;0.1;0.1;6;4;0.6;2;70;15;2;0.2;0.1;0;102.4;87;91.2;7.2;0.8;100;201;1
22/12/2015;0.5;0.2;1;0.1;0.2;5;5;0.7;2;69;14;2;0.3;0.2;0;100.2;85;90.3;7.9;0.8;99;200;1
07/01/2016;0.5;0.1;1;0;0.1;6;4;0.6;2;72;14;1;0.3;0;0.2;101.8;87;91;7.3;0.6;99;200;1
25/01/2016;0.5;0.1;1;0;0.2;5;4;0.7;2;70;14;2;0.1;0;0.2;99.8;86;90;7.2;0.5;100;200;1
09/02/2016;0.6;0.2;2;0.2;0.3;5;5;0.8;2;70;13;2;0.1;0.2;0.1;101.5;85;90.4;8.2;0.9;97;199;1
17/02/2016;0.6;0.8;1;0.2;0.2;5;4;0.3;2;69;14;2;0.2;0.2;0.3;99.8;85;89.4;7.8;0.8;97;199;1
07/03/2016;0.5;0.1;1;0;0.2;5;4;0.6;2;70;14;1;0.2;1;0.2;99.8;85;90;7.8;0.7;99;199;1
24/03/2016;0.6;0.2;1.3;0.2;0.1;5.4;4.5;0.1;1.5;69;14.2;1.6;0.1;0.1;0.1;99;84.8;89.6;8.4;0.7;99.5;200.1;1
